Lake,Date_Sampled,Results,,,,,,,,,,,,,,
Kegonsa,1988-04-04,26.1,,,,,,,,,,,,,,
Kegonsa,1988-05-02,28.0,,,,,,,,,,,,,,
Kegonsa,1988-06-01,31.9,,,,,,,,,,,,,,
Kegonsa,1988-07-07,30.2,,,,,,,,,,,,,,
Kegonsa,1988-08-01,31.3,,,,,,,,,,,,,,
Kegonsa,1988-09-06,33.5,,,,,,,,,,,,,,
Kegonsa,1988-10-03,33.0,,,,,,,,,,,,,,
Kegonsa,1988-11-01,30.0,,,,,,,,,,,,,,
Kegonsa,1988-12-05,30.8,,,,,,,,,,,,,,
Kegonsa,1989-01-09,35.2,,,,,,,,,,,,,,
Kegonsa,1989-02-02,37.8,,,,,,,,,,,,,,
Kegonsa,1989-03-01,35.4,,,,,,,,,,,,,,
Kegonsa,1989-04-03,33.4,,,,,,,,,,,,,,
Kegonsa,1989-05-01,33.8,,,,,,,,,,,,,,
Kegonsa,1989-06-01,2.6,,,,,,,,,,,,,,
Kegonsa,1989-07-05,35.0,,,,,,,,,,,,,,
Kegonsa,1989-08-01,31.8,,,,,,,,,,,,,,
Kegonsa,1989-09-05,29.6,,,,,,,,,,,,,,
Kegonsa,1989-10-02,34.8,,,,,,,,,,,,,,
Kegonsa,1989-11-01,36.1,,,,,,,,,,,,,,
Kegonsa,1989-12-01,37.1,,,,,,,,,,,,,,
Kegonsa,1990-01-03,37.8,,,,,,,,,,,,,,
Kegonsa,1990-02-01,37.3,,,,,,,,,,,,,,
Kegonsa,1990-03-07,38.4,,,,,,,,,,,,,,
Kegonsa,1990-04-02,34.0,,,,,,,,,,,,,,
Kegonsa,1990-05-01,36.0,,,,,,,,,,,,,,
Kegonsa,1990-06-04,35.1,,,,,,,,,,,,,,
Kegonsa,1990-07-02,35.1,,,,,,,,,,,,,,
Kegonsa,1990-08-01,34.4,,,,,,,,,,,,,,
Kegonsa,1990-09-01,36.5,,,,,,,,,,,,,,
Kegonsa,1990-11-07,30.7,,,,,,,,,,,,,,
Kegonsa,1990-12-05,31.3,,,,,,,,,,,,,,
Kegonsa,1991-01-03,40.3,,,,,,,,,,,,,,
Kegonsa,1991-02-04,37.3,,,,,,,,,,,,,,
Kegonsa,1991-04-01,34.3,,,,,,,,,,,,,,
Kegonsa,1991-05-01,37.1,,,,,,,,,,,,,,
Kegonsa,1991-06-03,37.4,,,,,,,,,,,,,,
Kegonsa,1991-07-02,35.2,,,,,,,,,,,,,,
Kegonsa,1991-08-05,36.8,,,,,,,,,,,,,,
Kegonsa,1991-09-03,40.5,,,,,,,,,,,,,,
Kegonsa,1991-10-03,37.7,,,,,,,,,,,,,,
Kegonsa,1991-11-04,36.9,,,,,,,,,,,,,,
Kegonsa,1991-12-02,34.4,,,,,,,,,,,,,,
Kegonsa,1992-01-01,38.2,,,,,,,,,,,,,,
Kegonsa,1992-02-01,38.0,,,,,,,,,,,,,,
Kegonsa,1992-03-01,34.9,,,,,,,,,,,,,,
Kegonsa,1992-04-01,35.3,,,,,,,,,,,,,,
Kegonsa,1992-05-01,34.7,,,,,,,,,,,,,,
Kegonsa,1992-06-01,35.4,,,,,,,,,,,,,,
Kegonsa,1992-07-01,39.6,,,,,,,,,,,,,,
Kegonsa,1992-08-01,38.6,,,,,,,,,,,,,,
Kegonsa,1992-09-01,38.7,,,,,,,,,,,,,,
Kegonsa,1992-10-01,38.1,,,,,,,,,,,,,,
Kegonsa,1992-11-01,39.5,,,,,,,,,,,,,,
