Date,Lake,Chloride.mgL
10/6/2006,Kegonsa,45.5
11/6/2006,Kegonsa,46.4
11/8/2006,Kegonsa,50.3
12/6/2006,Kegonsa,46.3
1/7/2007,Kegonsa,47.3
2/7/2007,Kegonsa,50.4
3/7/2007,Kegonsa,48.7
4/7/2007,Kegonsa,44.7
6/7/2007,Kegonsa,47.7
7/7/2007,Kegonsa,51.5
9/7/2007,Kegonsa,48
10/7/2007,Kegonsa,46.4
11/7/2007,Kegonsa,47
1/8/2008,Kegonsa,53.9
2/8/2008,Kegonsa,53.1
3/8/2008,Kegonsa,53.5
4/8/2008,Kegonsa,52.4
4/17/2008,Kegonsa,48.61
5/8/2008,Kegonsa,55.4
6/8/2008,Kegonsa,54.3
7/8/2008,Kegonsa,47.2
8/6/2008,Kegonsa,50.64
8/8/2008,Kegonsa,51.6
9/8/2008,Kegonsa,53.2
10/8/2008,Kegonsa,51.7
11/3/2008,Kegonsa,48.64
11/8/2008,Kegonsa,53
12/8/2008,Kegonsa,54.2
1/9/2009,Kegonsa,55.2
2/9/2009,Kegonsa,53.2
2/16/2009,Kegonsa,43.41
3/9/2009,Kegonsa,46.4
4/9/2009,Kegonsa,51.3
4/24/2009,Kegonsa,52.41
5/9/2009,Kegonsa,56.2
6/9/2009,Kegonsa,50.3
7/9/2009,Kegonsa,55.7
8/3/2009,Kegonsa,28.16
8/9/2009,Kegonsa,56.8
9/9/2009,Kegonsa,53.9
10/9/2009,Kegonsa,50.3
11/4/2009,Kegonsa,56.84
11/9/2009,Kegonsa,50.9
12/9/2009,Kegonsa,57.2
1/10/2010,Kegonsa,53.4
2/10/2010,Kegonsa,57.4
2/11/2010,Kegonsa,63.34
3/10/2010,Kegonsa,56.7
4/10/2010,Kegonsa,52.3
4/15/2010,Kegonsa,24.49
5/10/2010,Kegonsa,54.5
6/10/2010,Kegonsa,53.7
7/10/2010,Kegonsa,55.3
8/5/2010,Kegonsa,53.54
8/10/2010,Kegonsa,53.8
