time,year,month,sampledate,CL.mean,CL.max,CL.min,scenario,reduction
1595,2096,5,2096-05-01,64.35994131277761,75.90818388682133,51.81335753128123,50% Reduction,50%
1596,2096,6,2096-06-01,62.85603127048093,74.53504121727308,49.33583477319584,50% Reduction,50%
1597,2096,7,2096-07-01,61.816439443854705,74.53504121727308,45.94173465055885,50% Reduction,50%
1598,2096,8,2096-08-01,61.05837806739664,74.53504121727308,44.72875540658988,50% Reduction,50%
1599,2096,9,2096-09-01,60.058262391901316,72.81305143118037,44.539465335014214,50% Reduction,50%
1600,2096,10,2096-10-01,58.866955318315085,70.27873616006119,44.468166259832415,50% Reduction,50%
1601,2096,11,2096-11-01,58.25782744884582,69.12515481983652,44.38990677220632,50% Reduction,50%
1602,2096,12,2096-12-01,60.70443514185873,71.61334596178354,47.16536492589047,50% Reduction,50%
1603,2097,1,2097-01-01,66.25813551313699,77.27737363048054,53.14400268179994,50% Reduction,50%
1604,2097,2,2097-02-01,71.08999986395533,82.55384792157173,58.64314486476057,50% Reduction,50%
1605,2097,3,2097-03-01,71.63867059179522,86.82392206386203,57.97109275826096,50% Reduction,50%
1606,2097,4,2097-04-01,68.85914081627453,86.24143830588422,53.84239542843727,50% Reduction,50%
1607,2097,5,2097-05-01,66.034705945516,83.86808344857113,51.7439449785761,50% Reduction,50%
1608,2097,6,2097-06-01,63.88470727834699,77.73014129061247,51.11116298161494,50% Reduction,50%
1609,2097,7,2097-07-01,62.40927498737039,77.73014129061247,49.43651566681181,50% Reduction,50%
1610,2097,8,2097-08-01,61.54122657397687,77.73014129061247,48.6153257651126,50% Reduction,50%
1611,2097,9,2097-09-01,60.38691785659145,77.72267619770636,48.604055036507255,50% Reduction,50%
1612,2097,10,2097-10-01,58.95776257750505,73.46444313142268,47.386193518567836,50% Reduction,50%
1613,2097,11,2097-11-01,58.37845414771655,73.64456997665386,46.833758647356795,50% Reduction,50%
1614,2097,12,2097-12-01,58.02656795247787,71.97429981727687,46.63428116157277,50% Reduction,50%
1615,2098,1,2098-01-01,60.20554522863293,72.69218290295912,48.90713393485786,50% Reduction,50%
1616,2098,2,2098-02-01,65.13579460343244,78.68495964421656,53.38588546054964,50% Reduction,50%
1617,2098,3,2098-03-01,66.21208747405312,82.57310731160878,52.58636448350924,50% Reduction,50%
1618,2098,4,2098-04-01,65.07367473821752,80.70498558939478,51.48613119931777,50% Reduction,50%
1619,2098,5,2098-05-01,64.03537936405154,78.50512438171971,51.226413040279894,50% Reduction,50%
1620,2098,6,2098-06-01,62.14090981540418,78.50512438171971,50.605582014163126,50% Reduction,50%
1621,2098,7,2098-07-01,60.83091163995918,78.47020459639263,49.9214571660173,50% Reduction,50%
1622,2098,8,2098-08-01,60.090065761802336,78.47020459639263,48.93655590785589,50% Reduction,50%
1623,2098,9,2098-09-01,59.02748982598517,78.47020459639263,48.45322746552717,50% Reduction,50%
1624,2098,10,2098-10-01,57.62950935350068,78.47020459639263,46.93915494427836,50% Reduction,50%
1625,2098,11,2098-11-01,56.8045140015628,79.08378517268055,47.21877259514574,50% Reduction,50%
1626,2098,12,2098-12-01,59.89035070429268,81.84042787014558,50.80092747947087,50% Reduction,50%
1627,2099,1,2099-01-01,65.71328176636888,87.10812774228363,57.038095465128556,50% Reduction,50%
1628,2099,2,2099-02-01,69.35753962449719,88.02803654406992,58.90384236280122,50% Reduction,50%
1629,2099,3,2099-03-01,69.40412631882118,89.67040688405103,58.91219047114469,50% Reduction,50%
1630,2099,4,2099-04-01,66.90434390689873,84.0776380093314,55.645325252462875,50% Reduction,50%
1631,2099,5,2099-05-01,64.28980119817062,78.00989060301197,52.73726682583234,50% Reduction,50%
1632,2099,6,2099-06-01,62.384468178167594,77.61413838952511,49.97442738835127,50% Reduction,50%
1633,2099,7,2099-07-01,61.067116408440526,77.11440157610915,47.679101723123104,50% Reduction,50%
1634,2099,8,2099-08-01,59.90632463844875,77.11440157610915,47.51351260975896,50% Reduction,50%
1635,2099,9,2099-09-01,58.60540867843304,77.11440157610915,47.351770201748565,50% Reduction,50%
1636,2099,10,2099-10-01,57.34358085302321,77.11440157610915,46.23086847962409,50% Reduction,50%
1637,2099,11,2099-11-01,56.9607868488432,77.90701369686943,45.910831508213086,50% Reduction,50%
1638,2099,12,2099-12-01,62.59112850992766,82.65995222390649,51.79792742667424,50% Reduction,50%
738,2024,12,2024-12-01,86.26872684322018,86.26872684322018,86.26872684322018,25% Reduction,25%
739,2025,1,2025-01-01,94.26579963922978,95.05857013241383,91.28465981577271,25% Reduction,25%
740,2025,2,2025-02-01,103.61580241824977,106.33779950615336,95.7783317605985,25% Reduction,25%
741,2025,3,2025-03-01,102.94974707321795,109.59798247748728,90.76300967456196,25% Reduction,25%
742,2025,4,2025-04-01,99.437996888276,110.36861237968036,88.50085907893285,25% Reduction,25%
743,2025,5,2025-05-01,96.66443040901264,109.70549140792515,86.20294094076301,25% Reduction,25%
744,2025,6,2025-06-01,94.60958425685381,109.27010829463543,84.32109654022823,25% Reduction,25%
745,2025,7,2025-07-01,93.37188576976395,109.27010829463543,81.83647144287396,25% Reduction,25%
746,2025,8,2025-08-01,92.3909203730527,109.27010829463543,81.25457607315371,25% Reduction,25%
747,2025,9,2025-09-01,90.81536908796359,109.19467923106131,80.92401726577098,25% Reduction,25%
748,2025,10,2025-10-01,89.11484028763306,106.9985452255732,79.57878563702079,25% Reduction,25%
749,2025,11,2025-11-01,87.74423942364902,100.12778046145229,79.3019615042159,25% Reduction,25%
750,2025,12,2025-12-01,88.28834223901315,100.0096527745851,80.38382281975676,25% Reduction,25%
751,2026,1,2026-01-01,93.46803922708852,105.43724707429513,85.58317065519373,25% Reduction,25%
752,2026,2,2026-02-01,102.82535870463254,115.22777413558556,94.8131580603029,25% Reduction,25%
753,2026,3,2026-03-01,105.39296115767843,121.38252540404538,93.12248486668929,25% Reduction,25%
754,2026,4,2026-04-01,100.71822839974097,118.6802834763087,86.82840732850187,25% Reduction,25%
755,2026,5,2026-05-01,97.20553885022358,118.6802834763087,82.48983369078648,25% Reduction,25%
756,2026,6,2026-06-01,94.51869366938472,113.69198604993558,81.44862831316061,25% Reduction,25%
757,2026,7,2026-07-01,92.88229847486004,113.00254593238103,80.18690201175583,25% Reduction,25%
758,2026,8,2026-08-01,91.71230200371421,112.8735541938657,79.01710774348837,25% Reduction,25%
759,2026,9,2026-09-01,89.97274908340223,111.57992335417728,78.78247760408333,25% Reduction,25%
760,2026,10,2026-10-01,88.17366106452424,110.54044811804032,76.94098170314506,25% Reduction,25%
761,2026,11,2026-11-01,87.16514587260907,105.92864135661078,77.47677295690795,25% Reduction,25%
762,2026,12,2026-12-01,89.91246163177834,108.64198719717868,80.24608526185423,25% Reduction,25%
